id;code;nom;description
1;Limousin panel enhance;Unbranded b;action-items seize
2;Alsace Intelligent reboot;online;action-items Sports Sleek
3;Fresh Dirham c;Generic a;Rhône-Alpes Licensed even-keeled
4;Pants;interfaces markets Bénin;sticky seamless
5;Richelieu overriding Money;bluetooth synergies Franche-Comté;structure
6;Customizable Ball Licensed;a Concrete Sausages;Small
7;incubate partnerships;fault-tolerant Beauty;compress Cheese
8;e-business pixel;revolutionary ivory la;microchip
9;Basse-Normandie drive;white deposit methodologies;architectures d'Argenteuil Chair
10;feed Producteur;deposit Electronics;de
