id;code;photo;photo_content_type
1;cross-platform Computers;../fake-data/blob/hipster.png;image/png
2;Functionality New benchmark;../fake-data/blob/hipster.png;image/png
3;Point Borders;../fake-data/blob/hipster.png;image/png
4;Supervisor Ford Crossroad;../fake-data/blob/hipster.png;image/png
5;Chief invoice;../fake-data/blob/hipster.png;image/png
6;Loaf;../fake-data/blob/hipster.png;image/png
7;Verde;../fake-data/blob/hipster.png;image/png
8;cross-platform;../fake-data/blob/hipster.png;image/png
9;networks;../fake-data/blob/hipster.png;image/png
10;parsing Borders programming;../fake-data/blob/hipster.png;image/png
